Date,Open,High,Low,Close,Adj Close,Volume
5/11/2020,94.129997,95.970001,93.940002,95.410004,94.51738,10384400
5/12/2020,95.800003,96.07,93.370003,93.440002,92.565804,13521000
5/13/2020,93.489998,94.209999,90.620003,91.830002,90.970871,16971100
5/14/2020,91.190002,93.059998,90.190002,93,92.129913,15237600
5/15/2020,91.529999,93.489998,91.269997,93.470001,92.595528,14016400
5/18/2020,95.309998,96.300003,94.980003,95.760002,94.864105,10017700
5/19/2020,95.800003,96.889999,95.370003,95.410004,94.51738,10046400
5/20/2020,96.730003,97.68,96.68,97.5,96.587822,9096000
5/21/2020,97.400002,97.690002,96.089996,96.139999,95.24054,10290800
5/22/2020,96,96.610001,95.610001,96.489998,95.587257,9244800
5/26/2020,98.419998,98.489998,96.309998,96.389999,95.488205,13000700
5/27/2020,96.379997,96.980003,94.330002,96.940002,96.033066,19428400
5/28/2020,96.580002,98.519997,96.510002,96.75,95.844833,10573700
5/29/2020,97.040001,98.199997,96.230003,97.970001,97.053429,17778900
6/1/2020,97.510002,98.150002,97.080002,97.940002,97.023705,13359700
6/2/2020,98.139999,98.860001,97.209999,98.860001,97.935089,11207600
6/3/2020,99.260002,99.949997,98.830002,99.629997,98.697891,11017900
6/4/2020,99.239998,99.93,98.260002,98.809998,97.885567,7569400
6/5/2020,99.510002,101.699997,99.339996,101.410004,100.461243,10378200
6/8/2020,101.230003,101.959999,100.300003,101.919998,100.966461,8065100
6/9/2020,101.410004,102.900002,101.32,102.400002,101.441978,7353900
6/10/2020,103.139999,104.889999,102.949997,104.110001,103.135979,12194800
6/11/2020,102.300003,102.449997,98.110001,98.139999,97.221832,19871000
6/12/2020,100.769997,101.269997,97.68,99.410004,98.47995,21643500
6/15/2020,97.599998,100.82,97.279999,100.370003,99.430969,14962000
6/16/2020,102.769997,103.389999,100.919998,102.510002,101.550949,13967900
6/17/2020,103.089996,103.459999,102.32,102.489998,101.531136,8662100
6/18/2020,102.300003,103.059998,102.080002,102.949997,101.986832,6858600
6/19/2020,104.190002,104.309998,101.75,102.239998,101.28347,15640000
6/22/2020,102.089996,103.970001,101.93,103.879997,103.191742,7369000
6/23/2020,104.809998,105.830002,104.480003,104.629997,103.936768,9514000
6/24/2020,104.199997,104.779999,101.709999,102.269997,101.592407,12712800
