Date,Open,High,Low,Close,Adj Close,Volume
3/24/2020,19722.18945,20737.69922,19649.25,20704.91016,20704.91016,7993400
3/25/2020,21050.33984,22019.92969,20538.33984,21200.55078,21200.55078,7963200
3/26/2020,21468.38086,22595.06055,21427.09961,22552.16992,22552.16992,7051800
3/27/2020,21898.4707,22327.57031,21469.26953,21636.7793,21636.7793,5888300
3/30/2020,21678.2207,22378.08984,21522.08008,22327.48047,22327.48047,5455400
3/31/2020,22208.41992,22480.36914,21852.08008,21917.16016,21917.16016,5712100
4/1/2020,21227.38086,21487.24023,20784.42969,20943.50977,20943.50977,5066800
4/2/2020,20819.46094,21477.76953,20735.01953,21413.43945,21413.43945,5295400
4/3/2020,21285.92969,21447.81055,20863.08984,21052.5293,21052.5293,4500100
4/6/2020,21693.63086,22783.44922,21693.63086,22679.99023,22679.99023,6107600
4/7/2020,23537.43945,23617.24023,22634.44922,22653.85938,22653.85938,5946600
4/8/2020,22893.4707,23513.40039,22682.99023,23433.57031,23433.57031,4727400
4/9/2020,23690.66016,24008.99023,23504.08984,23719.36914,23719.36914,5664000
4/13/2020,23698.92969,23698.92969,23095.34961,23390.76953,23390.76953,3943200
4/14/2020,23690.57031,24040.58008,23683.43945,23949.75977,23949.75977,4859100
4/15/2020,23600.7207,23649.7207,23233.32031,23504.34961,23504.34961,4376300
4/16/2020,23543.66016,23598.08008,23211.38086,23537.67969,23537.67969,4710500
4/17/2020,23817.15039,24264.21094,23817.15039,24242.49023,24242.49023,5259500
4/20/2020,24095.09961,24108.68945,23627.18945,23650.43945,23650.43945,4234100
4/21/2020,23365.25,23365.25,22941.88086,23018.88086,23018.88086,4851400
4/22/2020,23437.33984,23613.09961,23339.59961,23475.82031,23475.82031,3528800
4/23/2020,23543.08984,23885.35938,23483.34961,23515.25977,23515.25977,3892900
4/24/2020,23628.24023,23826,23417.67969,23775.26953,23775.26953,3760200
4/27/2020,23866.15039,24207.65039,23840.60938,24133.7793,24133.7793,3893900
4/28/2020,24357.16992,24512.24023,24031.19922,24101.55078,24101.55078,4002500
4/29/2020,24490.36914,24764.76953,24453.99023,24633.85938,24633.85938,4552900
4/30/2020,24585.57031,24585.57031,24186.90039,24345.7207,24345.7207,4878400
5/1/2020,24120.7793,24120.7793,23645.30078,23723.68945,23723.68945,4181600
5/4/2020,23581.55078,23769.56055,23361.16016,23749.75977,23749.75977,3553600
5/5/2020,23958.88086,24169.7207,23868.91016,23883.08984,23883.08984,3697100
5/6/2020,23978.88086,24054.58984,23661.14063,23664.64063,23664.64063,3774500
5/7/2020,23837.21094,24094.61914,23834.39063,23875.89063,23875.89063,3698900
