Date,Open,High,Low,Close,Adj Close,Volume
4/23/2020,47.939999,48.630001,47.779999,48.049999,47.691319,2486900
4/24/2020,47.950001,48.689999,47.5,48.66,48.296764,2693000
4/27/2020,49.139999,49.299999,48.915001,49.060001,48.693779,2022300
4/28/2020,49.560001,49.560001,48.09,48.169998,47.810421,2583000
4/29/2020,49.900002,50.959999,49.799999,50.5,50.123028,3551600
4/30/2020,50.529999,50.849998,49.852001,50.279999,49.904671,3663100
5/1/2020,49.75,50.310001,49.167,49.580002,49.2099,2793500
5/4/2020,49.27,49.939999,49,49.869999,49.497726,3721800
5/5/2020,50.279999,50.700001,50.029999,50.130001,49.755787,2261500
5/6/2020,50.540001,50.630001,49.970001,49.990002,49.616837,2486000
5/7/2020,50.73,51.119999,50.560001,50.93,50.549816,3207200
5/8/2020,51.549999,51.93,51.25,51.860001,51.472881,4640700
5/11/2020,51.540001,52.25,51.424,51.889999,51.502651,2269700
5/12/2020,52.049999,52.139999,50.869999,50.880001,50.500195,13806400
5/13/2020,50.849998,50.990002,49.330002,50.009998,49.636681,4338800
5/14/2020,49.59,50.549999,49.057999,50.549999,50.172657,3219800
5/15/2020,50.139999,51.25,49.889999,51.25,50.867432,3938600
5/18/2020,51.82,52.610001,51.669998,52.330002,51.939365,2852300
5/19/2020,52.259998,52.93,52.080002,52.32,51.92944,5526800
5/20/2020,53.080002,53.900002,53.040001,53.77,53.368622,4532500
5/21/2020,54,54.18,53.330002,53.389999,52.991455,4016100
5/22/2020,53.369999,53.799999,53.09,53.709999,53.309071,3870900
5/26/2020,54.740002,54.790001,53.779999,53.860001,53.457947,3651100
5/27/2020,53.900002,54.240002,52.895,54.240002,53.83511,5946600
5/28/2020,53.77,54.599998,53.599998,53.73,53.328918,4074500
5/29/2020,53.700001,54.169998,53.145,54.02,53.616756,6113400
6/1/2020,53.889999,54.720001,53.790001,54.639999,54.232121,6930100
6/2/2020,54.700001,54.880001,54.07,54.860001,54.450485,3468600
6/3/2020,55,55.205002,54.830002,55.029999,54.619213,3217000
6/4/2020,54.880001,55.110001,54.220001,54.619999,54.212276,2235300
6/5/2020,54.990002,55.900002,54.98,55.509998,55.095627,2784300
6/8/2020,55.52,56.59,55.369999,56.549999,56.127865,3216000
6/9/2020,56.25,56.669998,56.110001,56.41,55.988911,3549200
6/10/2020,56.759998,56.799999,55.860001,56.240002,55.820183,2638100
6/11/2020,54.959999,55.34,53.529999,53.650002,53.249516,4669100
6/12/2020,54.830002,55.029999,53.110001,54.119999,53.716007,4944200
6/15/2020,53.330002,55.18,53.240002,54.990002,54.579514,4114300
6/16/2020,56.09,56.110001,54.650002,55.439999,55.02615,4335600
6/17/2020,55.560001,55.93,55.07,55.509998,55.095627,2621400
6/18/2020,55.400002,55.73,55.27,55.689999,55.274284,4696300
6/19/2020,56.360001,56.360001,55.130001,55.540001,55.125408,4740400
6/22/2020,55.380001,55.630001,55.186001,55.549999,55.246738,1995800
6/23/2020,55.91,56.48,55.709999,55.91,55.604774,4896900
6/24/2020,55.720001,55.849998,54.150002,54.650002,54.351654,7736200
6/25/2020,54.610001,55.009998,54.07,54.889999,54.590343,4779400
6/26/2020,54.560001,54.610001,52.369999,52.470001,52.183556,6241400
6/29/2020,52.18,53.439999,51.924999,53.439999,53.148254,3508300
